#{"t_start": 1695258136.61003, "env_id": "UR5ObsReach-v1"}
r,l,t
-3415.281316,100,843.792128
-3158.274469,100,843.967672
-954.694394,10,854.375434
-1123.489842,18,854.425175
-1219.645417,100,854.609887
-1239.595523,32,854.686111
-1623.903795,100,854.860095
-2180.430256,100,855.115602
-1389.913034,100,855.357861
-3824.554539,100,855.527406
-1233.103601,100,855.718297
-2764.894913,100,855.942041
-1029.554078,18,866.366725
-1467.879323,100,866.536461
-2672.917577,100,866.72823
-1240.704214,100,866.965466
-2805.908547,100,867.138716
-1589.645631,100,867.418771
-1231.088832,100,867.611225
-859.70611,12,867.649559
-1795.138649,100,867.839187
-827.69649,3,867.860916
-2022.047417,100,878.416404
-2666.529581,100,878.613132
-1119.26027,18,878.661877
-1324.834502,100,878.858538
-2171.209166,100,879.104757
-2144.860715,58,879.219826
-1475.950221,100,879.397373
-921.18828,21,879.451673
-3597.812986,100,879.630839
-816.717622,4,879.653562
-3494.853225,100,890.11445
-816.159438,2,890.125632
-1731.725007,100,890.325008
-2028.40465,100,890.545184
-1302.383076,24,890.598599
-871.574918,3,890.611624
-1264.55443,100,890.802154
-967.060136,11,890.825935
-2563.706743,100,891.027345
-934.684244,100,891.207337
-2950.132294,100,901.764307
-834.743432,5,901.793239
-862.137594,4,901.806644
-1020.083947,15,901.839738
-1059.776597,100,902.041739
-2638.743139,100,902.267175
-1610.806738,50,902.408652
-1322.513124,100,902.605613
-3070.901668,100,902.792202
-1103.23328,100,902.987637
-1176.32255,100,913.484059
-1791.38698,41,913.5598
-1985.095833,100,913.742765
-983.233519,15,913.78509
-1334.233117,100,913.971183
-2985.979812,100,914.159971
-1345.977132,100,914.344888
-814.186763,3,914.365362
-2977.835331,100,914.560576
-865.560277,3,914.582115
-1415.882145,100,925.211215
-1682.749146,100,925.387672
-2000.296404,100,925.571104
-827.234237,5,925.594886
-2217.975856,100,925.834008
-1178.221832,19,925.886998
-347.830376,23,925.948159
-949.435908,100,926.13308
-1045.52801,33,926.196326
-2022.283472,100,926.373262
-979.344375,13,936.650999
-1715.746931,100,936.840885
-2232.305529,100,937.080155
-1174.486998,100,937.326655
-875.097664,5,937.33846
-1045.275978,100,937.529575
-1986.770786,100,937.838804
-1216.076833,100,938.059222
-1660.579686,100,938.24704
-1945.153941,100,938.448778
-1055.194322,9,948.757728
-1121.097579,100,948.957814
-1328.974502,100,949.157898
-839.433092,5,949.182366
-966.361048,17,949.219149
-696.834183,2,949.226193
-2723.887051,92,949.412911
-1755.225027,100,949.596255
-1394.10507,26,949.650234
-1505.477524,100,949.83998
-754.611698,2,960.285046
-1507.984785,100,960.462996
-1398.040937,100,960.745801
-2357.888009,100,960.927634
-1225.087391,19,960.966463
-984.238526,100,961.149318
-1293.559532,100,961.355566
-2475.246652,100,961.572857
-1334.407874,100,961.749761
-1413.160692,100,961.933346
-874.176359,3,972.414044
-2281.196631,100,972.659555
-1907.673928,100,972.842889
-2014.365698,100,973.047698
-2782.396095,100,973.243024
-2578.865272,100,973.439632
-1488.474463,100,973.650089
