#{"t_start": 1689036143.3212242, "env_id": "UR5ObsReach-v1"}
r,l,t
-817.559136,8,555.092771
-736.601226,5,555.10484
-822.215932,7,555.123708
-762.187599,3,555.134576
-792.215717,6,555.157192
-792.811035,2,566.526762
-814.194556,9,566.553578
-772.042931,2,566.55908
-741.852085,4,566.579949
-141.17233,6,566.598592
-747.255056,5,566.614377
-773.116226,2,566.626531
-724.789299,3,566.643493
-843.771177,10,566.673197
-856.935642,10,566.705302
-868.668846,3,578.521181
-783.060487,7,578.547235
-880.890471,10,578.584587
-774.399724,6,578.610006
-903.045123,10,578.633464
-881.866886,10,578.667362
-802.143754,8,578.696548
-858.540336,9,578.712728
-694.605469,2,578.71977
-645.900452,1,578.734796
-693.198128,2,590.34595
-709.919533,3,590.364414
-784.701761,7,590.388681
-744.490584,7,590.404654
-690.418701,2,590.412668
-920.068071,9,590.444217
-868.933266,3,590.465073
-39.733709,5,590.484905
-762.116692,5,590.50253
-851.970282,10,590.529166
-833.232468,9,602.015357
-820.200012,8,602.031449
-850.254064,10,602.050485
-725.347275,2,602.073001
-806.265718,8,602.099974
-793.177498,3,602.107449
-734.360221,5,602.128758
-946.787387,8,602.148826
-738.767517,4,602.159311
-874.920686,10,602.184293
-0.487128,6,613.721242
-898.660724,10,613.744542
17.145951,5,613.7691
-753.507545,2,613.781398
-816.222317,5,613.804152
-739.825531,5,613.820799
-801.581486,9,613.842174
-749.778957,3,613.851101
-73.420569,6,613.872021
-740.959518,2,613.88212
-839.951515,6,625.614197
-804.454235,4,625.628477
-854.078674,3,625.644274
-889.768654,3,625.660515
-859.824222,10,625.687746
-737.791149,5,625.714391
-821.378284,9,625.735694
-888.0952,9,625.753342
-838.55191,10,625.790143
-768.34613,6,625.81778
-878.683617,3,637.403635
-939.418706,10,637.433895
-829.285284,9,637.46314
-768.442764,2,637.484693
-814.463634,8,637.513075
-709.870476,2,637.536669
-930.134388,9,637.563785
-790.318658,8,637.595501
-762.315553,6,637.611328
-129.278599,7,637.628956
-772.95734,5,649.166791
-758.820816,2,649.178875
-763.850296,4,649.199839
-970.998194,10,649.226424
-1002.76035,10,649.256982
-739.718244,6,649.285344
-753.895885,6,649.302995
-783.925644,3,649.313863
-881.749626,3,649.332802
22.639971,4,649.349455
-881.972112,10,661.151765
-781.180456,9,661.186256
-823.473922,5,661.212996
-551.08357,5,661.227616
-861.677968,9,661.253311
-10.248264,5,661.275774
-821.217141,9,661.298448
-879.430115,10,661.318268
-745.317085,6,661.344969
-30.158439,6,661.360468
-868.996779,9,672.8975
-792.295659,6,672.92193
-804.866165,4,672.935504
-977.681744,10,672.962648
-859.144203,4,672.986526
-733.055706,4,673.001423
-816.804563,8,673.025153
-801.101753,6,673.037651
-737.938599,6,673.056093
-858.1134,9,673.076283
-762.243275,3,684.827616
-790.501463,9,684.854073
-60.296829,4,684.877274
-829.027758,10,684.904396
-822.967853,8,684.936331
-43.772145,6,684.963435
-681.264025,4,684.980959
-1002.421589,10,685.009903
-762.763737,5,685.032502
-903.509556,7,685.050823
-809.500839,8,697.111515
-878.297159,9,697.129725
-732.174088,5,697.15703
-711.744484,3,697.170108
-2.444049,6,697.190486
-897.549749,9,697.214139
-752.075892,5,697.240524
-906.132913,6,697.260453
-779.953981,9,697.279673
-813.788141,8,697.313157
-734.59541,5,708.951281
-757.035359,5,708.967825
-7.793863,5,708.982317
-31.271944,6,709.000712
-835.680497,10,709.024198
23.442251,5,709.049152
-744.16911,7,709.070753
-762.444088,6,709.085601
-878.375661,10,709.109224
-739.438355,5,709.134763
-750.775369,6,721.211025
-832.518683,10,721.23353
-890.333555,9,721.265219
1.379075,5,721.275772
-959.68191,9,721.298573
-698.77478,2,721.306454
-787.639278,7,721.33286
-848.243538,4,721.343477
-762.196269,6,721.363187
-881.91779,8,721.3836
-763.847544,5,732.936989
-688.466736,2,732.948494
-665.577141,2,732.965009
-798.617462,4,732.984671
-821.01581,10,733.010485
-531.094802,5,733.035978
-856.377347,9,733.059133
-892.001318,10,733.077158
-854.581726,3,733.100296
-731.94088,5,733.120311
-926.386604,9,744.686455
-792.079994,4,744.711001
-863.550253,10,744.740955
-773.050599,6,744.768204
-752.989561,5,744.783386
-849.616327,10,744.807141
-923.713794,8,744.836221
-695.598305,2,744.859182
-814.307449,4,744.878075
-822.483429,10,744.906701
-4.29447,5,756.621863
-853.191784,5,756.639448
-927.742166,10,756.664194
-885.833854,10,756.696944
-767.210487,2,756.71844
-752.732734,7,756.743025
-815.955981,8,756.762535
-773.707015,7,756.779446
-873.326079,10,756.816541
-853.107986,10,756.848448
-920.634989,22,768.510651
-14.178955,4,768.531081
-759.175798,5,768.549686
-965.840422,13,768.581986
-928.979447,10,768.611182
-699.382881,2,768.628262
-839.596452,10,768.662653
-760.887074,6,768.68446
-86.141143,7,768.701948
-40.612056,6,768.717176
-940.765975,10,780.23387
-689.418434,2,780.254266
-54.90189,5,780.275018
-1007.554148,11,780.302608
-901.877237,10,780.332748
-50.478948,6,780.361379
-962.063015,10,780.389035
-859.48077,8,780.420233
-153.88982,8,780.446582
-855.63311,7,780.464848
-850.053194,6,792.27053
-78.366071,7,792.28769
-890.169713,7,792.306213
-728.586586,5,792.319263
-778.477463,8,792.340503
-714.001831,2,792.348337
-763.2343,7,792.373668
-810.349688,10,792.396138
-799.851219,3,792.417967
-708.565163,2,792.432998
-880.573464,11,803.823828
-727.295639,3,803.843377
-738.090752,4,803.861507
-804.150828,9,803.884546
-873.485538,10,803.903423
-771.040709,6,803.930569
31.196085,4,803.943067
-34.921152,6,803.962573
-829.22349,10,803.987489
-881.042666,7,804.01911
-923.156174,11,815.899493
-860.269073,8,815.929435
-823.145359,10,815.963833
-94.912746,5,815.989733
-842.953913,5,816.007403
-848.149946,5,816.023736
-752.867275,6,816.04144
-831.72963,5,816.056356
-824.787121,10,816.081947
-728.045735,6,816.108285
-58.3103,7,827.417459
-815.949658,10,827.439473
-863.619183,5,827.465487
-797.674868,5,827.483552
-869.030633,10,827.506356
-792.61066,7,827.535206
-10.74906,5,827.548043
-855.196361,10,827.573045
-137.290129,8,827.604926
-757.86694,6,827.618987
-52.416309,6,838.942157
-797.543924,6,838.961012
-752.733765,3,838.973502
-968.959087,10,839.001784
-758.19907,5,839.025981
-796.36256,5,839.044565
-778.535736,6,839.06156
-823.137336,6,839.077927
-11.599853,5,839.091194
-544.305763,5,839.109932
-996.814285,9,850.859065
-960.336342,6,850.886749
-744.266052,5,850.901638
-936.128077,11,850.930533
24.003923,4,850.949411
-741.55512,5,850.969044
-851.498779,3,850.983331
-639.252563,1,850.996298
-749.724448,5,851.020624
-795.541533,7,851.039676
-119.525496,7,862.51339
-685.33844,3,862.525204
-731.338165,3,862.541895
-767.693977,7,862.5646
-845.122377,10,862.585522
-741.236359,6,862.612452
-797.40831,4,862.626377
-50.299548,5,862.644513
-697.462524,2,862.656177
-846.342944,7,862.682792
-806.379581,6,874.5566
-728.979651,7,874.574852
-828.725078,10,874.597991
-720.449265,2,874.617631
-79.134604,7,874.64149
-844.611255,10,874.663406
-728.52283,7,874.692398
-718.625938,3,874.702142
