#{"t_start": 1693881991.4190536, "env_id": "UR5ObsReach-v1"}
r,l,t
-900.824736,10,501.671625
-86.111982,7,501.698772
-926.109612,10,501.720297
-980.443232,8,501.751615
-964.533909,10,501.790195
-945.455304,10,501.821738
-910.701549,9,501.860098
-1078.337798,11,513.590239
-937.449079,10,513.616311
-1043.263739,10,513.649392
-940.554716,10,513.682677
-989.996483,10,513.712836
-48.383531,6,513.737795
-956.650708,10,513.763352
-934.442812,10,513.796376
-900.78697,7,513.827406
-965.093964,10,513.863836
-902.326241,10,525.589969
-1077.918238,9,525.629642
-966.565773,10,525.656965
-880.074601,10,525.691736
-947.049614,10,525.723483
-987.712986,10,525.761036
-922.398842,11,525.792021
-941.993889,10,525.826481
-897.277213,10,525.857027
-1043.946999,10,525.890048
-868.047798,6,537.904364
-907.299039,10,537.939061
-252.740372,8,537.96494
-979.804085,10,538.003114
-917.458702,8,538.031074
-955.737877,10,538.068744
-1015.209747,10,538.103791
-921.718003,11,538.139337
-869.963001,10,538.17294
-924.12075,10,538.20735
-1002.54825,10,550.51111
-947.072985,10,550.544123
-894.395916,10,550.580738
-877.139313,8,550.607364
-1001.198793,10,550.644223
-965.637966,10,550.678022
-1008.820263,9,550.708624
-966.860882,10,550.743593
-936.073792,9,550.774854
-265.942904,10,550.814744
-871.425468,10,562.405561
-1039.388496,6,562.433244
-1074.059018,8,562.449745
-896.428971,10,562.47077
-1020.051649,10,562.505926
-910.612191,10,562.537035
-1009.98898,10,562.57609
-1008.041162,10,562.605582
-187.502445,8,562.632279
-986.527401,10,562.655463
-1020.412016,10,574.380226
-994.31447,12,574.421097
-235.246916,8,574.447801
-912.737494,11,574.483912
-885.7271,10,574.5145
-82.494679,7,574.541578
-931.036864,10,574.564575
-86.534259,6,574.589583
-962.22202,8,574.609144
-886.112875,7,574.627695
-949.752595,10,586.159434
-950.615696,10,586.190718
-887.291622,8,586.221907
-984.523272,8,586.253739
-1003.082363,11,586.276234
-981.228146,10,586.311524
-878.961787,10,586.342481
-963.487305,10,586.378247
-945.419356,11,586.413754
-896.571786,10,586.444654
-966.419344,10,597.966994
-966.518204,10,598.001765
-921.663306,8,598.031526
-919.214534,11,598.071251
-932.555357,9,598.098501
-759.626145,6,598.128182
-964.974022,7,598.144806
-162.397695,6,598.159178
-870.689363,10,598.183699
-989.262847,10,598.217782
-903.737398,10,609.378046
-1068.953937,10,609.409445
-956.080508,10,609.444439
-197.188844,7,609.470028
-923.034134,9,609.489436
-945.821557,10,609.509728
-935.332525,12,609.547157
-909.222844,10,609.576417
-973.725451,9,609.607841
-1012.739003,10,609.643309
-894.107347,10,620.720841
-1173.91444,11,620.759316
-4.14234,5,620.776758
-1016.746,10,620.803737
-946.124249,9,620.837007
-921.301096,10,620.874799
-158.929453,9,620.904651
-984.713616,10,620.940295
-3768.937336,100,621.262146
-926.614891,10,621.286709
-827.286852,8,633.07984
-167.676205,7,633.106545
-1019.232853,10,633.132281
-1003.159859,8,633.162952
-908.450138,10,633.196934
-999.140638,10,633.231829
-952.243532,10,633.263227
-995.704678,10,633.297965
-943.841812,10,633.330222
-937.971552,9,633.360789
-925.774496,10,644.511146
-988.34409,10,644.541176
-140.601531,7,644.56614
-929.996697,10,644.588956
-974.88718,10,644.626939
-926.87256,10,644.657564
-917.878348,10,644.689667
-983.343351,9,644.722981
-951.222798,10,644.755893
-953.238911,11,644.792922
-924.487502,8,656.529664
-56.097172,7,656.560986
-935.196859,10,656.587788
-1044.711159,10,656.617913
-963.769339,10,656.655191
-918.902042,7,656.684506
-160.655993,8,656.713803
-894.762638,10,656.758521
-953.133801,10,656.788902
-970.410983,10,656.820774
-989.573624,7,668.490121
-991.719278,9,668.538376
-872.029203,9,668.562738
-971.398613,10,668.59881
-934.414978,6,668.621576
-969.778554,10,668.650255
-937.763802,7,668.672163
-98.688044,6,668.688224
-913.490425,10,668.715927
-1044.378313,11,668.750601
-959.215113,10,680.220654
-860.626972,10,680.254135
-1048.771454,10,680.286736
-833.778566,7,680.316342
-873.743713,6,680.348945
-968.373583,11,680.371648
